Longitude,Latitude,Altitude
108.5006748,-6.679355954,0
108.4966169,-6.677736616,0
108.4928669,-6.676209431,0
108.4877659,-6.674163661,0
108.482776,-6.672125199,0
108.4776258,-6.670083685,0
108.4724994,-6.668007376,0
108.4669871,-6.66578296,0
108.4625419,-6.663963581,0
108.4601247,-6.663009253,0
108.4576239,-6.661938956,0
108.4534192,-6.660277661,0
108.4481477,-6.658145776,0
108.4448382,-6.65682411,0
108.4408283,-6.65520348,0
108.4352725,-6.65294349,0
108.4306197,-6.651048315,0
108.4267703,-6.649521272,0
108.4228814,-6.647898192,0
108.4178106,-6.645888659,0
108.4141535,-6.644451007,0
108.4107048,-6.642963421,0
108.4087865,-6.641708685,0
108.4077481,-6.640416607,0
108.4068834,-6.638692206,0
108.4062549,-6.637223946,0
108.4054186,-6.635354417,0
108.4036384,-6.631332477,0
108.4006071,-6.624482045,0
108.3987251,-6.620244897,0
108.3968914,-6.616054966,0
108.3950495,-6.611915206,0
108.3929974,-6.607317755,0
108.3913889,-6.603554815,0
108.3902671,-6.600308612,0
108.3890675,-6.597064975,0
108.3881216,-6.594488237,0
108.3867405,-6.590712049,0
108.3854411,-6.587205088,0
108.3837138,-6.582438119,0
108.3821855,-6.578228929,0
108.3816793,-6.576935076,0
108.3804289,-6.574505888,0
108.3781846,-6.570419128,0
108.3767007,-6.567674336,0
108.3752636,-6.565017153,0
108.3739361,-6.562541818,0
108.3721115,-6.559089454,0
108.3705811,-6.556290952,0
108.3691702,-6.553630189,0
108.3682003,-6.551819865,0
108.3673412,-6.550451234,0
108.366123,-6.548901427,0
108.3649711,-6.547261822,0
108.3636897,-6.545524777,0
108.3610314,-6.54188814,0
108.3584515,-6.538351164,0
108.3561776,-6.535195877,0
108.3549353,-6.532353359,0
108.3533344,-6.528168037,0
